radio,mcc,mnc,lac,cellid,unit,lon,lat,range,samples,changeable,created,updated,averageSignalStrength
GSM,234,15,139,2243,0,-0.4484,51.5013,1043,31,1,1311882509,1751652009,0
UMTS,234,20,1237,11156530,19,0.0017,51.5593,6281,117,1,1381142624,1712907607,0
GSM,234,15,139,20768,0,-0.3985,51.5049,2728,31,1,1284552024,1728972733,0
GSM,234,15,139,20770,0,-0.4009,51.5108,2775,52,1,1319933159,1711918516,0
UMTS,234,20,1239,7460056,302,-0.2789,51.5275,1000,34,1,1336834204,1712907606,0
UMTS,234,20,1239,7460018,126,-0.2702,51.5248,1011,68,1,1336834208,1712907606,0
GSM,234,15,139,12378,0,-0.4576,51.4939,1175,50,1,1348252231,1751652009,0
GSM,234,15,40,20773,0,0.2136,51.6267,25718,39,1,1351171588,1733020029,0
GSM,234,15,42,23361,0,-0.2493,51.3482,17478,48,1,1352720134,1753484236,0
UMTS,234,20,86,9388601,478,-0.4026,51.429,1137,48,1,1361179988,1726587690,0
UMTS,234,20,142,8407435,274,-0.2347,51.6077,14786,92,1,1361316344,1719174688,0
UMTS,234,10,22028,1855802,86,-0.3961,51.4034,4667,20,1,1361389909,1756576141,0
UMTS,234,20,142,8391914,136,-0.238,51.5776,1540,23,1,1361629413,1719174687,0
UMTS,234,20,86,9392993,21,-0.415,51.4357,1480,52,1,1362057083,1726587690,0
UMTS,234,20,86,9375114,358,-0.409,51.4322,1231,15,1,1362064400,1726587690,0
UMTS,234,20,86,9375115,508,-0.4052,51.4289,1000,39,1,1362064464,1726587690,0
UMTS,234,20,1217,8217140,248,-0.1353,51.6165,26257,21,1,1363989219,1720510867,0
UMTS,234,10,22028,1865800,242,-0.4375,51.4942,514,28,1,1364600202,1748267287,0
UMTS,234,20,142,8410201,186,-0.2387,51.6021,1354,116,1,1364839637,1719174688,0
UMTS,234,20,49,13072788,183,0.0909,51.6114,3250,196,1,1366856353,1712907614,0
UMTS,234,20,119,11011428,181,0.1102,51.5007,5124,33,1,1366994636,1715782202,0
UMTS,234,20,86,9406921,430,-0.3988,51.4284,2037,11,1,1367110166,1726587690,0
UMTS,234,20,1239,7412424,350,-0.2728,51.5627,1000,33,1,1367240328,1712907603,0
UMTS,234,10,22028,1860716,103,-0.3897,51.4734,1000,9,1,1367849751,1756560190,0
UMTS,234,20,142,8406477,39,-0.2387,51.5845,3683,104,1,1367946846,1719174688,0
UMTS,234,20,1237,11156239,4,0.0062,51.5639,5963,56,1,1368326395,1712907607,0
UMTS,234,20,1239,7420540,365,-0.2358,51.55,1226,54,1,1368661441,1712907603,0
UMTS,234,20,142,8393659,409,-0.2314,51.5725,1428,117,1,1369308720,1719174687,0
